,CustomerID,CustomerName,Gender,Age,CustomerType,City,State,PostalCode,Region,Recency,RecencyCluster,Frequency,FrequencyCluster,Sales,SalesCluster,OverallScore,Profit,ValueSegment,ValueSegment
0,KD-16270,Karen Daniels,Female,18,Consumer,Springfield,Virginia,22153,South,633,1,16,2,8282.358,2,5,1104.6999999999994,High-Value,1
1,KB-16600,Ken Brennan,Male,17,Consumer,Houston,Texas,77041,Central,1,3,9,1,983.9220000000001,0,4,291.16,Mid-Value,0
2,DW-13585,Dorothy Wardle,Female,14,Consumer,Columbus,Ohio,43229,East,260,2,10,1,1204.854,0,3,-268.6,Mid-Value,0
3,TW-21025,Tamara Willingham,Female,39,Home Office,Scottsdale,Arizona,85254,West,64,3,12,1,5278.825999999998,2,6,736.1899999999999,High-Value,2
4,SP-20650,Stephanie Phelps,Female,18,Consumer,San Jose,California,95123,West,384,2,15,2,1872.436,0,4,266.16999999999996,Mid-Value,0
5,TT-21070,Ted Trevino,Male,12,Consumer,Los Angeles,California,90045,West,31,3,14,2,4915.602000000001,2,7,750.3700000000001,High-Value,2
6,MP-17470,Mark Packer,Male,44,Corporate,New York City,New York,10035,East,424,2,14,2,3206.132000000001,1,5,598.6000000000001,High-Value,2
7,BS-11755,Bruce Stewart,Male,38,Home Office,Denver,Colorado,80219,West,1,3,14,2,2562.3819999999996,1,6,-115.16,High-Value,2
8,JB-15925,Joni Blumstein,Male,12,Consumer,Dublin,Ohio,43017,East,737,1,8,1,900.5520000000001,0,2,-289.38,Low-Value,0
9,DL-13315,Delfina Latchford,Female,12,Consumer,New York City,New York,10024,East,35,3,17,2,1458.2580000000005,0,5,285.77000000000004,High-Value,0
10,HA-14920,Helen Andreada,Female,40,Home Office,San Francisco,California,94109,West,51,3,18,2,2584.158,1,6,95.54000000000006,High-Value,2
11,BB-10990,Barry Blumstein,Male,15,Consumer,Inglewood,California,90301,West,105,3,8,1,744.3399999999999,0,4,9.97,Mid-Value,0
12,KL-16555,Kelly Lampkin,Female,42,Home Office,Colorado Springs,Colorado,80906,West,16,3,22,3,5016.488,2,8,-189.29000000000002,High-Value,2
13,SH-20395,Shahid Hopkins,Male,15,Consumer,Arlington,Virginia,22204,South,82,3,15,2,2180.718,1,6,-148.02,High-Value,0
14,SP-20860,Sung Pak,Male,21,Consumer,Philadelphia,Pennsylvania,19143,East,20,3,24,3,4282.9400000000005,1,7,561.7099999999999,High-Value,2
15,PO-18850,Patrick O'Brill,Male,39,Home Office,Philadelphia,Pennsylvania,19143,East,4,3,22,3,7473.828200000001,2,8,33.849999999999994,High-Value,1
16,AB-10060,Adam Bellavance,Male,23,Consumer,New York City,New York,10009,East,105,3,18,2,7755.619999999999,2,7,2053.8,High-Value,1
17,VB-21745,Victoria Brennan,Female,57,Corporate,Columbus,Georgia,31907,South,149,3,10,1,2005.596,1,5,369.55,High-Value,0
18,MM-18280,Muhammed MacIntyre,Male,21,Consumer,Quincy,Illinois,62301,Central,85,3,12,1,775.414,0,4,57.19000000000001,Mid-Value,0
19,AS-10285,Alejandro Savely,Male,21,Consumer,San Francisco,California,94109,West,48,3,8,1,3214.236,1,5,352.83000000000004,High-Value,2
20,NG-18430,Nathan Gelder,Male,12,Consumer,Cincinnati,Ohio,45231,East,19,3,9,1,1395.938,0,4,216.10000000000002,Mid-Value,0
21,LF-17185,Luke Foster,Male,15,Consumer,Miami,Florida,33180,South,140,3,16,2,3930.509,1,6,-3589.0699999999997,High-Value,2
22,JE-15745,Joel Eaton,Male,37,Home Office,Louisville,Colorado,80027,West,99,3,23,3,6760.814999999998,2,8,218.41999999999996,High-Value,2
23,SD-20485,Shirley Daniels,Female,14,Consumer,New Rochelle,New York,10801,East,200,2,21,3,6121.114,2,7,1982.9899999999998,High-Value,2
24,DB-13060,Dave Brooks,Male,36,Corporate,Lowell,Massachusetts,1852,East,16,3,13,2,4531.646000000001,1,6,470.62,High-Value,2
25,MT-18070,Michelle Tran,Female,15,Consumer,Los Angeles,California,90045,West,85,3,11,1,1319.4497999999996,0,4,-26.349999999999987,Mid-Value,0
26,SA-20830,Sue Ann Reed,Male,47,Corporate,Chicago,Illinois,60610,Central,63,3,21,3,4767.341499999999,2,8,606.0899999999999,High-Value,2
27,LS-17245,Lynn Smith,Female,35,Home Office,Gladstone,Missouri,64118,Central,34,3,12,1,1008.136,0,4,347.35999999999996,Mid-Value,0
